,decisions,meaningful,personal_identity,Feeling_good,knowledge, not_available,uncertainty,preference,purchased,intention
0,0,0,0,0,0,0,1,0,1,0
1,1,0,1,1,0,0,0,0,1,0
2,1,0,0,0,0,0,0,1,1,0
3,1,1,1,0,0,0,0,0,1,0
4,0,1,0,1,0,1,1,1,1,0
5,1,1,1,1,0,0,0,0,2,0
6,1,1,1,0,0,0,0,0,2,0
7,0,0,0,0,0,1,1,0,1,0
8,0,1,0,0,0,0,0,1,2,0
9,0,0,0,0,0,0,0,0,2,0
10,1,1,1,1,1,1,1,1,2,1
11,0,1,1,1,1,0,1,0,2,1
12,1,1,1,1,0,0,1,1,1,0
13,1,1,0,1,0,1,0,1,1,0
14,1,1,1,0,1,0,1,0,2,0
15,0,1,0,0,0,0,0,0,1,0
16,0,0,0,0,0,0,0,0,1,0
17,1,1,1,1,1,1,1,1,2,1
18,1,1,1,0,0,0,1,1,2,1
19,1,1,1,1,0,1,1,1,1,0
20,0,0,0,0,0,1,0,0,2,0
21,1,1,1,1,1,1,1,1,2,1
22,1,1,1,1,0,0,0,1,2,1
23,1,1,1,1,0,0,1,1,1,0
24,1,1,1,1,0,0,1,0,1,0
25,1,0,1,0,0,0,1,0,1,0
26,1,1,1,1,0,0,0,1,1,1
27,1,1,0,1,0,0,0,0,2,0
28,1,1,1,1,0,0,0,1,1,0
29,1,1,1,0,0,0,0,1,1,1
30,1,1,1,1,0,0,0,0,2,0
31,1,1,1,1,1,0,0,1,2,1
32,0,1,0,0,0,0,1,0,1,0
33,1,1,1,1,1,0,0,1,2,1
34,0,1,1,1,1,1,1,0,2,1
35,1,1,0,0,0,1,0,1,2,0
36,0,0,0,0,0,0,1,0,1,0
37,1,1,0,1,1,1,0,1,2,1
38,1,1,0,0,0,0,0,1,1,0
39,1,1,1,1,1,0,0,1,2,1
40,1,1,1,0,0,0,0,0,0,0
41,1,1,1,0,0,0,1,1,2,0
42,0,0,1,1,1,0,0,1,2,1
43,1,1,1,1,0,0,1,1,1,0
44,0,0,0,0,0,0,0,0,1,0
45,1,1,1,0,0,0,1,1,2,0
46,1,1,1,1,0,0,0,1,2,1
47,1,0,0,1,0,1,1,1,2,0
48,0,1,1,0,0,1,0,1,1,0
49,1,1,1,0,0,0,0,0,1,0
50,1,1,1,1,1,1,1,0,0,0
51,1,1,1,1,0,0,0,0,1,0
52,1,0,0,0,1,0,1,1,2,0
53,1,1,1,1,1,1,0,1,1,0
54,0,0,0,0,0,0,0,0,1,0
55,1,0,0,1,0,1,0,1,1,1
56,1,0,0,1,1,1,0,0,2,0
57,0,1,0,1,1,0,1,1,2,1
58,1,1,1,1,0,0,1,1,2,1
59,0,0,0,0,1,1,1,0,2,1
60,1,1,0,0,0,0,0,1,2,1
61,1,1,1,1,0,0,1,1,1,0
62,0,0,1,1,0,1,1,0,0,0
63,1,0,1,1,0,0,1,0,2,1
64,1,1,1,1,0,0,1,1,2,1
65,1,1,1,0,0,1,1,1,1,0
66,1,1,0,1,0,0,1,1,2,1
67,1,1,1,1,0,0,1,1,1,0
68,1,1,1,0,0,0,1,0,2,0
69,1,1,1,1,0,1,1,0,1,0
70,1,1,1,1,0,0,1,0,0,0
71,0,1,0,0,0,0,1,0,1,0
72,1,1,1,0,0,0,1,0,2,0
73,1,1,1,0,1,0,0,0,2,0
74,0,1,0,1,0,0,0,0,1,0
75,1,1,1,1,0,0,1,1,2,1
76,1,1,1,1,0,0,1,1,2,1
77,1,1,1,0,0,0,1,0,1,0
78,1,1,1,1,0,0,1,1,2,0
79,0,0,0,0,1,1,1,0,0,0
80,0,0,0,0,0,0,1,0,1,0
81,1,1,1,1,0,0,1,0,0,0
82,1,1,1,0,0,0,1,0,1,0
83,1,1,1,1,1,1,1,1,2,1
84,0,0,0,0,0,0,1,0,1,0
85,1,0,1,1,1,1,1,1,2,0
86,0,1,0,0,0,0,1,0,2,0
87,1,1,1,1,1,0,0,1,2,1
88,1,1,1,0,0,1,0,1,0,0
89,1,1,1,1,0,1,1,0,1,0
90,0,1,1,1,1,0,1,1,2,1
91,1,1,1,1,0,0,1,0,2,1
92,0,0,0,0,0,1,1,0,2,0
93,1,1,1,1,0,0,1,0,0,0
94,0,0,0,1,0,0,0,0,2,0
95,1,1,1,1,0,1,1,1,1,0
96,1,1,1,1,0,0,1,1,2,1
97,0,0,0,0,0,0,1,0,1,0
98,0,0,0,0,0,1,1,0,1,0
99,1,1,1,1,1,0,1,1,2,1
100,1,1,0,1,0,0,0,0,2,1
101,1,1,1,0,0,0,1,0,1,0
102,1,1,1,1,0,0,0,0,2,0
103,0,0,0,0,0,0,0,0,1,0
104,0,0,0,1,0,1,1,0,1,0
105,1,1,1,1,1,1,1,1,2,1
106,1,1,1,0,0,0,1,0,1,0
107,1,1,1,1,0,0,0,1,1,1
108,1,1,1,1,1,0,1,0,2,1
109,1,1,0,1,1,0,0,1,2,1
110,1,1,1,1,0,0,1,1,2,1
